Qty,Value,Device,Package,Parts,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PROD_ID
4,10K,R-US_R0805,R0805,"R2, R3, R4, R5","RESISTOR, American symbol",,,,,
2,220R,R-US_R0805,R0805,"R8, R10","RESISTOR, American symbol",,,,,
2,2K2,R-US_R0805,R0805,"R1, R6","RESISTOR, American symbol",,,,,
2,47,R-US_R0805,R0805,"R7, R13","RESISTOR, American symbol",,,,,
3,4K7,R-US_R0805,R0805,"R9, R11, R12","RESISTOR, American symbol",,,,,
2,BSS138,MOSFET-NREFLOW,SOT23,"Q1, Q2",N-Channel Mosfet,,,,,
1,DIN5,DIN5,DIN5-RA-PTH,J1,DIN5 Connector - Female Right Angle (frequently used as a MIDI Jack connector),,,,,CONN-09481
1,ENCODER,MA05-1,MA05-1,ENCODER,PIN HEADER,,,unknown,unknown,
1,OLED,PINHD-1X7,1X07,OLED,PIN HEADER,,,,,
1,PlayBtn,PINHD-1X4,1X04,PLAY_BUTTON,PIN HEADER,,,,,
1,SelectBtn,PINHD-1X4,1X04,SELECT_BUTTON,PIN HEADER,,,,,
1,TEENSY_3.6_DIL,TEENSY_3.6_DIL,TEENSY_3.6_DIL,U$8,Teensy 3.6 DIL Package,,,,,
1,TRELLIS,PINHD-1X4,1X04,TRELLIS,PIN HEADER,,,,,
